row_id,evidence,proved_scope,target_application,required_output,inference_limit,status,source_id,locator
CR141_01,Repositorio histórico CUT-SIDIF Central implementado en SICHE,existencia del repositorio,ruta bancaria independiente,nombre de módulo y exportación,no prueba una fila target,PROVED_ROUTE_TARGET_OPEN,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_02,Período 2007-2014,incluye ejercicio 2008,cobertura temporal exacta,confirmación de cobertura por dataset,no prueba completitud por día,EXACT_PERIOD_PROVED,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_03,Alcance Órganos Rectores,acceso institucional,derivar a TGN/CGN/DGSIAF,área ejecutora y usuario/consulta,no es acceso ciudadano directo,INTERNAL_ACCESS_PROVED_REQUEST_NOT_SENT,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_04,Entidades Básicas,clase consultable,identificar 3855/19 y cuentas alternativas vigentes en 2008,banco;sucursal;cuenta;moneda;vigencia;titular;SAF,3855/19 es candidata histórica; no cuenta target,HISTORICAL_ACCOUNT_CLASS_QUERY_PROVED,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_05,Saldos por Tipo de Apertura de Cuenta de Operación,clase consultable,reconstruir tipo y saldo de cuenta,tipo de apertura;cuenta;fecha;saldo,saldo no identifica movimiento,QUERY_CLASS_PROVED_NOT_RUN,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_06,Extractos,clase consultable,buscar débito/crédito y referencia,fecha;secuencia;códigos;importe;referencia;estado,extracto sin vínculo no atribuye causa,EXACT_TARGET_ROUTE_PROVED_NOT_RUN,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_07,Logs de Impacto,clase consultable,reconstruir evento que impactó la cuenta,timestamp;evento;entidad;comprobante;importe;resultado,log no equivale por sí solo a conciliación,EXACT_TARGET_ROUTE_PROVED_NOT_RUN,e0_dgsiaf_siche_cut_repository_2020_q2,PDF p.9
CR141_08,Combinación 7.2.8/83106000 con CUT,cruce metodológico V173,formulario→impacto→extracto,identificador compartido;fecha;importe;cuenta,el PDF no publica esa combinación,CROSSWALK_PROPOSED_NOT_EXECUTED,E0_SICHE_NAMED_QUERY_TARGET_MAP_V173.csv;e0_dgsiaf_siche_cut_repository_2020_q2,matriz V173
CR141_09,Cuenta CUT 3855/19 probada en 1996 y controles 2018/2019,continuidad histórica del identificador,filtro candidato junto con universo completo 2008,vigencia;titular;cuenta;extracto;referencia,no prueba que 83106000 usara esa cuenta,HISTORICAL_ACCOUNT_CONTINUITY_PROVED_TARGET_USE_OPEN,e0_cgn_disposition_38_1996_cut_account_3855;e0_mecon_uai_report_02_2019_tgn_close_2018,Disposición 38/1996; UAI 02/2019 pp.6-7
CR141_10,Cadena mínima,formulario;log;extracto;Libro Banco;conciliación,cierre de ejecución,cinco vínculos concordantes,ninguna capa sustituye a las restantes,CLOSE_TEST_FROZEN_TARGET_OPEN,e0_dgsiaf_siche_cut_repository_2020_q2;e0_tgn_treasury_system_v3_2022_cut_extract;e0_tgn_cut_auditor_instruction_2025,PDF p.9;p.63;p.5-39

